name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
...Ready For It?,2017-09-03,1,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,208198,false,7zgqtptZvhf8GEmdsM2vp2,...Ready For It?,0,0.615,0.779,2,-6.454,1,0.135,0.0665,0,0.155,0.453,160,audio_features,spotify:track:7zgqtptZvhf8GEmdsM2vp2,https://api.spotify.com/v1/tracks/7zgqtptZvhf8GEmdsM2vp2,https://api.spotify.com/v1/audio-analysis/7zgqtptZvhf8GEmdsM2vp2,4
Life Changes,2017-09-08,14,,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,190227,false,4Vxu50qVrQcycjRyJQaZLC,Life Changes,67,0.687,0.845,7,-4.37,1,0.0576,0.1,0,0.0452,0.809,87.972,audio_features,spotify:track:4Vxu50qVrQcycjRyJQaZLC,https://api.spotify.com/v1/tracks/4Vxu50qVrQcycjRyJQaZLC,https://api.spotify.com/v1/audio-analysis/4Vxu50qVrQcycjRyJQaZLC,4
24K Magic,2016-11-17,9,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,225983,false,6b8Be6ljOzmkOmFslEb23P,24K Magic,83,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,audio_features,spotify:track:6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P,4
÷ (Deluxe),2017-03-03,16,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,170827,false,0afhq8XCExXpqazXczTSve,Galway Girl,82,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,audio_features,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,4
x (Deluxe Edition),2014-06-21,16,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,258987,false,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,88,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,4
Havana (feat. Young Thug),2017-08-03,1,,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,216897,false,0ofbQMrRDsUaVKq2mGLEAb,Havana (feat. Young Thug),2,0.768,0.517,7,-4.323,0,0.0312,0.186,0.000038,0.104,0.418,104.992,audio_features,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/tracks/0ofbQMrRDsUaVKq2mGLEAb,https://api.spotify.com/v1/audio-analysis/0ofbQMrRDsUaVKq2mGLEAb,4
,,,,50co4Is1HCEo8bhOyUWKpn,Young Thug,,,,,,,,,,,,,,,,,,,,,
Unorthodox Jukebox,2012-12-07,10,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,213827,false,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,88,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,audio_features,spotify:track:0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh,4
Rocky III: Music From The Motion Picture,1982-01-01,10,,272ygo5fv9cYsiCLcV0HV2,Bill Conti,170240,false,6C2PfemHQul77DVpnvuAIs,Gonna Fly Now,59,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,audio_features,spotify:track:6C2PfemHQul77DVpnvuAIs,https://api.spotify.com/v1/tracks/6C2PfemHQul77DVpnvuAIs,https://api.spotify.com/v1/audio-analysis/6C2PfemHQul77DVpnvuAIs,4
Red Pill Blues (Deluxe),2017-11-03,15,,04gDigrS5kc9YWfZHwBETP,Maroon 5,214265,false,3PGdPUMdUg7a3Tgr5gkfKK,Don't Wanna Know (feat. Kendrick Lamar),0,0.776,0.62,7,-6.198,1,0.067,0.341,0,0.0978,0.427,100.025,audio_features,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,https://api.spotify.com/v1/tracks/3PGdPUMdUg7a3Tgr5gkfKK,https://api.spotify.com/v1/audio-analysis/3PGdPUMdUg7a3Tgr5gkfKK,4
